"filename", "language", "JavaScript", "CSS", "Vue", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"/Users/bytedance/Downloads/music-master/public/theme/element/table-column.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/bytedance/Downloads/music-master/public/theme/element/table.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/bytedance/Downloads/music-master/public/theme/element/tabs.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/bytedance/Downloads/music-master/public/theme/element/tag.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/bytedance/Downloads/music-master/public/theme/element/time-picker.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/bytedance/Downloads/music-master/public/theme/element/time-select.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/bytedance/Downloads/music-master/public/theme/element/timeline-item.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/bytedance/Downloads/music-master/public/theme/element/timeline.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/bytedance/Downloads/music-master/public/theme/element/tooltip.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/bytedance/Downloads/music-master/public/theme/element/transfer.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/bytedance/Downloads/music-master/public/theme/element/tree.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/bytedance/Downloads/music-master/public/theme/element/upload.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/bytedance/Downloads/music-master/src/App.vue", "Vue", 0, 0, 10, 0, 0, 0, 0, 0, 10
"/Users/bytedance/Downloads/music-master/src/api/index.js", "JavaScript", 193, 0, 0, 0, 0, 0, 4, 1, 198
"/Users/bytedance/Downloads/music-master/src/assets/css/common.css", "CSS", 0, 44, 0, 0, 0, 0, 1, 10, 55
"/Users/bytedance/Downloads/music-master/src/components/album_one.vue", "Vue", 0, 0, 48, 0, 0, 0, 0, 5, 53
"/Users/bytedance/Downloads/music-master/src/components/back.vue", "Vue", 0, 0, 32, 0, 0, 0, 0, 2, 34
"/Users/bytedance/Downloads/music-master/src/components/box.vue", "Vue", 0, 0, 49, 0, 0, 0, 0, 4, 53
"/Users/bytedance/Downloads/music-master/src/components/comment.vue", "Vue", 0, 0, 66, 0, 0, 0, 0, 8, 74
"/Users/bytedance/Downloads/music-master/src/components/mv_one.vue", "Vue", 0, 0, 50, 0, 0, 0, 0, 4, 54
"/Users/bytedance/Downloads/music-master/src/components/nav.vue", "Vue", 0, 0, 31, 0, 0, 0, 0, 2, 33
"/Users/bytedance/Downloads/music-master/src/components/playList_one.vue", "Vue", 0, 0, 52, 0, 0, 0, 12, 4, 68
"/Users/bytedance/Downloads/music-master/src/components/radio.vue", "Vue", 0, 0, 33, 0, 0, 0, 0, 2, 35
"/Users/bytedance/Downloads/music-master/src/components/search_list.vue", "Vue", 0, 0, 63, 0, 0, 0, 0, 6, 69
"/Users/bytedance/Downloads/music-master/src/components/search_result.vue", "Vue", 0, 0, 179, 0, 0, 0, 0, 5, 184
"/Users/bytedance/Downloads/music-master/src/components/singer.vue", "Vue", 0, 0, 48, 0, 0, 0, 0, 3, 51
"/Users/bytedance/Downloads/music-master/src/components/song.vue", "Vue", 0, 0, 85, 0, 0, 0, 0, 6, 91
"/Users/bytedance/Downloads/music-master/src/main.js", "JavaScript", 26, 0, 0, 0, 0, 0, 2, 2, 30
"/Users/bytedance/Downloads/music-master/src/promise.js", "JavaScript", 9, 0, 0, 0, 0, 0, 6, 2, 17
"/Users/bytedance/Downloads/music-master/src/router/index.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 3, 96
"/Users/bytedance/Downloads/music-master/src/utils/request.js", "JavaScript", 75, 0, 0, 0, 0, 0, 12, 10, 97
