Date : 2023-04-08 09:11:45
Directory : /Users/bytedance/Downloads/music-master
Total : 138 files,  44377 codes, 64 comments, 3117 blanks, all 47558 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/bytedance/Downloads/music-master/src/components/comment.vue                 | Vue        |         66 |          0 |          8 |         74 |
| /Users/bytedance/Downloads/music-master/src/components/mv_one.vue                  | Vue        |         50 |          0 |          4 |         54 |
| /Users/bytedance/Downloads/music-master/src/components/nav.vue                     | Vue        |         31 |          0 |          2 |         33 |
| /Users/bytedance/Downloads/music-master/src/components/playList_one.vue            | Vue        |         52 |         12 |          4 |         68 |
| /Users/bytedance/Downloads/music-master/src/components/radio.vue                   | Vue        |         33 |          0 |          2 |         35 |
| /Users/bytedance/Downloads/music-master/src/components/search_list.vue             | Vue        |         63 |          0 |          6 |         69 |
| /Users/bytedance/Downloads/music-master/src/components/search_result.vue           | Vue        |        179 |          0 |          5 |        184 |
| /Users/bytedance/Downloads/music-master/src/components/singer.vue                  | Vue        |         48 |          0 |          3 |         51 |
| /Users/bytedance/Downloads/music-master/src/components/song.vue                    | Vue        |         85 |          0 |          6 |         91 |
| /Users/bytedance/Downloads/music-master/src/main.js                                | JavaScript |         26 |          2 |          2 |         30 |
| /Users/bytedance/Downloads/music-master/src/promise.js                             | JavaScript |          9 |          6 |          2 |         17 |
| /Users/bytedance/Downloads/music-master/src/router/index.js                        | JavaScript |         93 |          0 |          3 |         96 |
| /Users/bytedance/Downloads/music-master/src/utils/request.js                       | JavaScript |         75 |         12 |         10 |         97 |
| /Users/bytedance/Downloads/music-master/src/views/album.vue                        | Vue        |        159 |          1 |          9 |        169 |
| /Users/bytedance/Downloads/music-master/src/views/all_album.vue                    | Vue        |        236 |          1 |         16 |        253 |
| /Users/bytedance/Downloads/music-master/src/views/all_mv.vue                       | Vue        |        152 |          0 |         11 |        163 |
| /Users/bytedance/Downloads/music-master/src/views/all_playList.vue                 | Vue        |        157 |          0 |          8 |        165 |
| /Users/bytedance/Downloads/music-master/src/views/all_singer.vue                   | Vue        |        134 |          1 |         10 |        145 |
| /Users/bytedance/Downloads/music-master/src/views/all_song.vue                     | Vue        |        156 |          0 |         11 |        167 |
| /Users/bytedance/Downloads/music-master/src/views/each_list.vue                    | Vue        |         82 |          1 |          3 |         86 |
| /Users/bytedance/Downloads/music-master/src/views/home/index.vue                   | Vue        |        142 |          8 |          5 |        155 |
| /Users/bytedance/Downloads/music-master/src/views/home/musicListView.vue           | Vue        |         42 |          8 |          1 |         51 |
| /Users/bytedance/Downloads/music-master/src/views/layout.vue                       | Vue        |         52 |          0 |          2 |         54 |
| /Users/bytedance/Downloads/music-master/src/views/lyric.vue                        | Vue        |         99 |          0 |          5 |        104 |
| /Users/bytedance/Downloads/music-master/src/views/mine/mine.vue                    | Vue        |         11 |          0 |          1 |         12 |
| /Users/bytedance/Downloads/music-master/src/views/mv.vue                           | Vue        |        206 |          1 |         15 |        222 |
| /Users/bytedance/Downloads/music-master/src/views/playList.vue                     | Vue        |        177 |          1 |         13 |        191 |
| /Users/bytedance/Downloads/music-master/src/views/search/search.vue                | Vue        |         60 |          0 |          2 |         62 |
| /Users/bytedance/Downloads/music-master/src/views/singerDetail.vue                 | Vue        |        183 |          0 |         11 |        194 |
| /Users/bytedance/Downloads/music-master/src/views/today/index.vue                  | Vue        |        237 |          1 |         12 |        250 |
| /Users/bytedance/Downloads/music-master/vercel.json                                | JSON       |          6 |          0 |          0 |          6 |
| /Users/bytedance/Downloads/music-master/vue.config.js                              | JavaScript |         13 |          3 |          0 |         16 |
| Total                                                                              |            |     44,377 |         64 |      3,117 |     47,558 |
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
